place_id,name,author_name,rating,sentence_text,sentence_sentiment,confidenceScores.positive,confidenceScores.neutral,confidenceScores.negative
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,This place is fantastic. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,I ordered chicken pho and it was stellar. ,positive,0.69,0.06,0.25
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,"Service was excellent, they accommodated our large party without issue right away and were very attentive. ",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Kim Morton,5,I will definitely be eating here again.,positive,0.74,0.2,0.06
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Cassandra Pierce,5,I love this place. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Cassandra Pierce,5,Food is always fresh and I love the smoothies. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Cassandra Pierce,5,First time not being able to dine in ☹️. ,negative,0.0,0.0,1.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Cassandra Pierce,5,But was very nice that my food portion didn’t suffer. ,positive,0.97,0.0,0.03
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Cassandra Pierce,5,Very good as usual.,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,This restaurant is something…,neutral,0.08,0.83,0.09
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,trust me you won’t regret it. ,positive,0.97,0.02,0.02
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,We have been to this restaurant couple of times and didn’t disappoint us. ,positive,0.91,0.02,0.08
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Taking from food to service is fast and better than another similar restaurants around Syracuse.
",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,Food is delicious (mild) and well cooked. ,positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,They have many dishes that comes with your choice of meat chicken beef vegetarian and vegan as well. ,neutral,0.01,0.99,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Just let you clarify the portion is great - like really good enough for one person, prices are decent and big menu.
",positive,1.0,0.0,0.0
ChIJq3w1Wn_x2YkR9HofEc9puio,Vietnamese Noodle House,Fadi salam,5,"Went there with family first time and ordered many dishes, all of them were wonderful and came with extra sauces. ",positive,1.0,0.0,0.0
